,title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,scraped_at
7671,Dijual Cepat!!! Rumah Minimalis Brand New 2 Lantai di Kayu Putih. Harga Murah (Masih Nego). Hadap Selatan.,2250000000.0,Jakarta Timur,Kayu Putih,3.0,2.0,1.0,84.0,140.0,2026-04-28T09:25:58.273051+00:00
7941,Rumah Tua di Rawamangun Tenang Sepi,2600000000.0,Jakarta Timur,Rawamangun,2.0,1.0,,180.0,100.0,2026-04-28T09:45:57.885549+00:00
8422,Rumah Layak Huni 303m2 Di Cempaka Putih Barat 5.3m Saja !!,5000000000.0,Jakarta Pusat,Cempaka Putih,4.0,4.0,3.0,303.0,210.0,2026-04-28T10:12:40.596233+00:00
882,Rumah Bagus Pondok Indah SHM Luas Siap Huni dengan Garasi Basemen,9500000000.0,Jakarta Selatan,Pondok Indah,5.0,5.0,3.0,250.0,438.0,2026-04-28T02:37:17.611391+00:00
5322,Rumah Mewah 3 Lantai di Bandengan Jakarta Utara,6900000000.0,Jakarta Utara,Bandengan,5.0,3.0,,150.0,400.0,2026-04-28T07:03:10.234079+00:00
6844,Dijualrumah 2 Lantaicluster Teresta Metland Menteng Jakarta,1450000000.0,Jakarta Timur,Cakung,3.0,3.0,,96.0,100.0,2026-04-28T08:29:01.715723+00:00
7795,Rumah Mewah Cipayung Akses Tol Jorr Dan Lrt Harga Menarik,10000000000.0,Jakarta Timur,Cipayung,16.0,12.0,12.0,661.0,500.0,2026-04-28T09:33:20.396639+00:00
9323,Rumah Mewah Strategis Ada Swimming Pool Dekat Plaza Indonesia di Menteng Jakpus Lr-7398-7405,104000000000.0,Jakarta Pusat,Menteng,14.0,3.0,9.0,1308.0,866.0,2026-04-28T11:01:34.979298+00:00
3775,O Dijual Rumah 2 Lantai di Perumahan Puri Kencana,11000000000.0,Jakarta Barat,Kembangan,4.0,2.0,2.0,360.0,287.0,2026-04-28T05:29:42.329226+00:00
7375,Rumah 6X15 Siap Huni Dalam Cluster di Jakarta Garden City,2000000000.0,Jakarta Timur,Cakung,3.0,4.0,2.0,90.0,200.0,2026-04-28T09:01:02.996851+00:00
5290,"Di Jual Rumah Teluk Gong Siap Huni,jakarta Utara",2900000000.0,Jakarta Utara,Teluk Gong,4.0,3.0,1.0,60.0,120.0,2026-04-28T07:01:17.432313+00:00
2848,"Dijual Termurah Butuh Cepat Rumah Gandeng Hook ( 12X36 ) Kosambi Baru - Duri Kosambi, Cengkareng",3300000000.0,Jakarta Barat,Cengkareng,4.0,3.0,5.0,432.0,468.0,2026-04-28T04:35:37.658622+00:00
2811,Rumah Mangga Besar Akses Motor,650000000.0,Jakarta Barat,Mangga Besar,2.0,1.0,,42.0,80.0,2026-04-28T04:33:38.674740+00:00
8150,Rumah Second Siap Huni Dalam Komplek di Cempaka Putih,9900000000.0,Jakarta Pusat,Cempaka Putih,6.0,5.0,2.0,343.0,500.0,2026-04-28T09:57:57.766181+00:00
8583,Jual Cepat Rumah Gunung Sahari Murah !!!,2900000000.0,Jakarta Pusat,Gunung Sahari,4.0,4.0,3.0,166.0,225.0,2026-04-28T10:21:13.569200+00:00
6098,Rumah LT 620 SHM 10 Mnt ke Gerbang Tol Pulo Gebang Siap Huni J-45706,14500000000.0,Jakarta Timur,Duren Sawit,,,,620.0,450.0,2026-04-28T07:47:12.909941+00:00
6291,Jual Rumah Dalam Komplek di Rawamangun Jakarta Timur,3200000000.0,Jakarta Timur,Rawamangun,5.0,4.0,2.0,146.0,200.0,2026-04-28T07:58:15.398755+00:00
3453,"Dijual Rumah 2Lt Full Furnish, Siap Huni 10X18 The Riviera Metland Puri",6500000000.0,Jakarta Barat,Metland Puri,4.0,4.0,3.0,180.0,211.0,2026-04-28T05:11:10.605962+00:00
4931,"Rumah 3 Lantai Swasembada Barat Tanjung Priok, Jakarta Utara",2300000000.0,Jakarta Utara,Tanjung Priok,6.0,5.0,2.0,174.0,350.0,2026-04-28T06:40:26.015094+00:00
6560,Rumah Hoek Pulo Gadung Jl Kayu Mas 431m² Hadap Timur Selatan,9000000000.0,Jakarta Timur,Pulo Gadung,5.0,5.0,4.0,431.0,431.0,2026-04-28T08:13:21.427068+00:00
2691,"Rumah Permata Buana 2,5 lantai 3 kamar tidur siap huni",6900000000.0,Jakarta Barat,Permata Buana,3.0,3.0,,144.0,347.0,2026-04-28T04:26:29.781226+00:00
6333,Ay. Dijual Cepat Rumah di Jalan Condet Raya,7300000000.0,Jakarta Timur,Jakarta Garden City,7.0,5.0,,350.0,200.0,2026-04-28T08:00:33.094198+00:00
4917,Promo Free PPN - Rumah 8X20 Golf Island Brand New bisa KPR - Segera Terjual!,5400000000.0,Jakarta Utara,Golf Island,4.0,4.0,2.0,160.0,174.0,2026-04-28T06:39:42.547391+00:00
8172,Rumah di Menteng Inti Lokasi Terbaik Jarang Dijual di Situbondo,52000000000.0,Jakarta Pusat,Menteng,5.0,5.0,,639.0,400.0,2026-04-28T09:59:10.404782+00:00
9969,Dijual Rumah Mewah di Menteng Jakarta Pusat 753M2 Newly Renovated,58000000000.0,Jakarta Pusat,Menteng,3.0,3.0,4.0,753.0,550.0,2026-04-28T11:36:23.217038+00:00
4507,Jual Cepat Rumah di Koja Jakut Akses Jalan 2 Mobil,2900000000.0,Jakarta Utara,Koja,2.0,2.0,,177.0,300.0,2026-04-28T06:11:32.771779+00:00
586,Rumah Mewah Siap Huni Ada Pool di Cilandak Kko,8900000000.0,Jakarta Selatan,Cilandak,6.0,6.0,4.0,370.0,400.0,2026-04-28T02:20:44.526570+00:00
2188,"Unit Baru di Hook!! Fleksibilitas Desain, Program Spesial Pembelian, Skema Cicilan Dp Selama Masa Inden",2300000000.0,Jakarta Barat,Meruya,3.0,3.0,2.0,92.0,84.0,2026-04-28T03:58:39.117898+00:00
3034,Frans Cen-Dijual Rumah Baru Duri Kepa 3Lt..Baru Minimalis..Wow LT : 6X18/ 3Lt,3600000000.0,Jakarta Barat,Duri Kepa,3.0,3.0,2.0,108.0,180.0,2026-04-28T04:46:21.498432+00:00
4146,Rumah 2 Lantai Pik2 California Jual Cepat Best Deal Bagus,999000000.0,Jakarta Utara,Pantai Indah Kapuk 2,2.0,2.0,1.0,45.0,54.0,2026-04-28T05:51:55.332946+00:00
4709,Rumah Mewah Siap Huni Katamaran Indah Pik 1,20000000000.0,Jakarta Utara,Pantai Indah Kapuk,8.0,10.0,,420.0,1200.0,2026-04-28T06:25:50.078826+00:00
9143,Rumah Cideng Jakpus 136M² - SHM - Strategis - Cocok Kost Hunian,2600000000.0,Jakarta Pusat,Cideng,3.0,1.0,,136.0,150.0,2026-04-28T10:51:40.008311+00:00
8120,Rumah.baru.di.percetakan Negara Rawasari Cempaka Putih. Jakarta Pusat,1040000000.0,Jakarta Pusat,Percetakan Negara,2.0,2.0,1.0,30.0,58.0,2026-04-28T09:56:05.979340+00:00
4075,Murah Rumah Akasia Bgm Pik 12X25 Pik Pantai Indah Kapuk,12500000000.0,Jakarta Utara,Pantai Indah Kapuk,4.0,4.0,,300.0,500.0,2026-04-28T05:47:58.543423+00:00
279,Rumah Mewah Murah di Cinere Jaksel Dekat Tol Brigif Jaksel Murah,1400000000.0,Jakarta Selatan,Cinere,3.0,3.0,2.0,86.0,92.0,2026-04-28T02:03:44.927785+00:00
6382,"Rumah 2 Lantai di Cluster North Mississippi, Jakarta Garden City Siap Huni",1700000000.0,Jakarta Timur,Jakarta Garden City,4.0,4.0,2.0,90.0,95.0,2026-04-28T08:03:19.499035+00:00
5561,Dijual Rumah Cantikdi Gading Grande Luas 90,3400000000.0,Jakarta Utara,Kelapa Gading,4.0,4.0,1.0,90.0,180.0,2026-04-28T07:17:17.705506+00:00
8301,Rumah Baru Dijual Cempaka Putih Sisa 1 Unit Lokasi Prime Jakarta Pusat,5670000000.0,Jakarta Pusat,Cempaka Putih,5.0,,,133.0,220.0,2026-04-28T10:06:14.325811+00:00
3458,"Rumah Siap Huni 3 Lantai di Jelambar dekat Pakuon, Jakarta Barat",1200000000.0,Jakarta Barat,Jelambar,4.0,3.0,1.0,60.0,180.0,2026-04-28T05:11:25.865706+00:00
134,Dijual Rumah Nyaman di Pondok Indah,8500000000.0,Jakarta Selatan,Pondok Indah,3.0,4.0,2.0,200.0,300.0,2026-04-28T01:56:07.997699+00:00
5885,Jual Murah..... di Bawah NJOP.... Rumah5 Kamar di Kelapa Gading,3300000000.0,Jakarta Utara,Kelapa Gading,5.0,3.0,2.0,200.0,300.0,2026-04-28T07:34:42.694944+00:00
4665,"Rumah 2,5Lt Sunter Sts Garden Agung Permai Paradise Siap Huni Bu",3400000000.0,Jakarta Utara,Sunter,5.0,4.0,2.0,120.0,270.0,2026-04-28T06:21:56.346268+00:00
9883,Rumah 20 KT Percetakan Negara: Potensi Kost Eksklusif & Misi Sosial,11000000000.0,Jakarta Pusat,Cempaka Putih,20.0,16.0,1.0,309.0,660.0,2026-04-28T11:31:47.731233+00:00
6118,Rumah Kondisi Baru Punya 2 Lantai & 3 KT Mewah Premium di Jakarta,2300000000.0,Jakarta Timur,Cakung,3.0,3.0,2.0,84.0,87.0,2026-04-28T07:48:17.533584+00:00
6237,For Sale Rumah Premium Jakarta 2 Lantai Dekat Akses Mall dan Tol,1900000000.0,Jakarta Timur,Duren Sawit,3.0,2.0,2.0,70.0,98.0,2026-04-28T07:55:06.524467+00:00
2181,"Tunjung Raya, Tomang",7000000000.0,Jakarta Barat,Tomang,6.0,3.0,2.0,258.0,196.0,2026-04-28T03:58:13.829187+00:00
126,Jual Rumah di Vasa Jagakarsa Dekat Akses Tol,2300000000.0,Jakarta Selatan,Jagakarsa,4.0,3.0,1.0,91.0,90.0,2026-04-28T01:55:42.655482+00:00
6072,Rumah 3 Lt SHM Siap Huni 10 Menit ke Mall Ciputra Cibubur J-39285,2770000000.0,Jakarta Timur,Cibubur,5.0,4.0,,175.0,425.0,2026-04-28T07:45:51.419412+00:00
7839,"Dijual Cepat Rmh Hook, Kayu Putih, Pulomas, Jkt Timur",11700000000.0,Jakarta Timur,Pulomas,7.0,7.0,2.0,350.0,600.0,2026-04-28T09:35:53.861692+00:00
8214,"Rumah, SHM, Dekat Akses KRL, Bebas Banjir",45000000000.0,Jakarta Pusat,Menteng,3.0,2.0,1.0,1080.0,230.0,2026-04-28T10:01:26.709068+00:00
7848,Rumah Dijual Di Pulo Asem Utara Rawamangun Jakarta Timur,3500000000.0,Jakarta Timur,Pulo Asem,5.0,3.0,,174.0,145.0,2026-04-28T09:36:23.818106+00:00
7099,Rumah Hitung Tanah dalam Komplek di Pondok Kelapa Jakarta Timur,6800000000.0,Jakarta Timur,Pondok Kelapa,3.0,3.0,4.0,591.0,350.0,2026-04-28T08:43:52.797791+00:00
9259,Rumah Baru Bagus Menteng Daerah Paling Elite,58000000000.0,Jakarta Pusat,Menteng,6.0,6.0,4.0,753.0,520.0,2026-04-28T10:57:53.484637+00:00
1528,"Rumah Modern Kemang Jakarta Selatan, Bebas Banjir, Harga Murah",7500000000.0,Jakarta Selatan,Kemang,5.0,5.0,3.0,260.0,400.0,2026-04-28T03:17:13.809964+00:00
1150,Rumah Mewah Kebayoran Lama Jaksel Siap Huni Lokasi Strategis,17000000000.0,Jakarta Selatan,Kebayoran Lama,5.0,4.0,4.0,363.0,500.0,2026-04-28T02:52:39.606888+00:00
4409,"Rumah Mewah di Cluster Elit - Bukit Gading Villa, Kelapa Gading",35000000000.0,Jakarta Utara,Kelapa Gading,4.0,4.0,4.0,504.0,700.0,2026-04-28T06:06:16.361354+00:00
9738,Rumah 3 Lantai Senen Jakarta Pusat Rp 8.5 M Nego Rumah 3 Lantai Shm Bagus,8500000000.0,Jakarta Pusat,Senen,3.0,3.0,4.0,324.0,450.0,2026-04-28T11:24:02.932626+00:00
2326,Rumah Hitung Tanah Dijual Permata Buana Hadap Selatan - 200M2,5350000000.0,Jakarta Barat,Permata Buana,3.0,1.0,2.0,200.0,150.0,2026-04-28T04:06:17.729914+00:00
7882,"Rumah Berkontur Unik, Kokoh, Dekat ke Jalan Raya Bogor",8000000000.0,Jakarta Timur,Kalisari,9.0,7.0,6.0,732.0,600.0,2026-04-28T09:38:22.223594+00:00
7129,Dijual Cepat Rumah Di Jln Pedati Raya - Jatinegara - Kampung Melayu,7900000000.0,Jakarta Timur,Jatinegara,6.0,3.0,4.0,433.0,176.0,2026-04-28T08:45:48.326436+00:00
4830,"Dijual Rumah di Kelapa Nias, Kelapa Gading",5450000000.0,Jakarta Utara,Kelapa Gading,5.0,4.0,2.0,300.0,400.0,2026-04-28T06:34:37.057540+00:00
8507,Rumah Jakbar Turun Harga Dari 7M Menjadi 5M,5200000000.0,Jakarta Pusat,Johar Baru,6.0,3.0,4.0,200.0,150.0,2026-04-28T10:17:14.722288+00:00
